,Duration (in seconds),Finished,Duplicate Respondent,SOGI,SOGI details,Age,prompt_order,LGBTQ+,CISHET
19,390,True,True,Yes,"Non binary, bisexual",25–34,1,"A woman's ghost in the cinema falls in love with the woman playing main character in a film. When the film performs poorly at box office in the first week, the theatre decides to pull it...but not if the ghost has something to say about it.","A woman's ghost in the cinema falls in love with the man playing main character in a film. When the film performs poorly at box office in the first week, the theatre decides to pull it...but not if the ghost has something to say about it."
20,456,True,True,Prefer not to say,,18–24,2,"He was a costumer, he was a waiter. And everytime he was working, he was there to ask a coffee.","He was a costumer, she was a waiter. And everytime she was working, he was there to ask a coffee."
21,283,True,True,Yes,Bisexual,18–24,2,"A woman on a trip for her work meets another woman at a professional party, then talk all of the evening and she has a crush on her. The next day she realizes she forgot to ask for his number. ","A woman on a trip for her work meets a man at a professional party, then talk all of the evening and she has a crush on him. The next day she realizes she forgot to ask for his number. "
22,439,True,True,Yes,,18–24,2,"An author moves from her big city apartment  to a castle in the countryside in search of inspiration for their next novel. There, she meets the woman who takes care of the gardens, and together they try to uncover the secrets hidden on the grounds.","An author moves from her big city apartment to a castle in the countryside in search of inspiration for her next novel. There, she meets the man who takes care of the gardens, and together they try to uncover the secrets hidden on the grounds."
23,452,True,True,Yes,"Gay, agender, but broadly identify as queer",25–34,2,"On their way out from their first date, Noa and Terry share a thoughtful glance. Just as Noa was about to ask a question, they both sense a strange change in the air","On their way out from their first date, Jack and Barb share a thoughtful glance. Just as Barb was about to ask a question, they both sense a strange change in the air…"
24,324,True,True,Yes,,18–24,1,"Two women meet in a bar on New Year’s Eve, they dance together. However when midnight strikes, just as they finished kissing, one suddenly disappears in the night. ","A woman and a man meet in a bar on New Year’s Eve, they dance together. However when midnight strikes, just as they finished kissing, one suddenly disappears in the night. "
25,652,True,True,Yes,,18–24,1,"Two fifty-old women were sat inside a restaurant, holding each other's hand. They were waiting to be served when, suddenly, they heard a scream coming from the kitchen. ","Two fifty-old persons, a woman and a man, were sat inside a restaurant, holding each other's hand. They were waiting to be served when, suddenly, they heard a scream coming from the kitchen. "
27,213,True,True,No,,18–24,2,"Two women grew old together and lived in an old house with a small garden for 30 years. Every time first day of spring, the one woman would open all the windows letting the sun in.","A woman and a man grew old together and lived in an old house with a small garden for 30 years. Every time first day of spring, the woman would open all the windows letting the sun in."
28,30,True,True,No,,18–24,1,"A gay couple, in their early twenties, goes on a date Ice Skating. On the ice they hold hands and eat churros. ","A couple, in their early twenties, goes on a date Ice Skating. On the ice they hold hands and eat churros. "
29,3653,True,True,Yes,I'm a queer woman that doesn't really use labels,18–24,2,"Two women, both in their late 60s, struggle with coping with loneliness in their old age. Then, on a usual day at the grocery store, they accidentally mix up their shopping carts... ","A woman and a man, both in their late 60s, struggle with coping with loneliness in their old age. Then, on a usual day at the grocery store, they accidentally mix up their shopping carts... "
30,168,True,True,Yes,"Queer! (Bisexual, nonbinary)",25–34,2,"Two people both visit the same activity club/course regularly. They end up spending more time together because of an assigned paired task, and end up finding out more about each other's lives and grow cloae with each other","A woman and a man both visit the same activity club/course regularly. They end up spending more time together because of an assigned paired task, and end up finding out more about each other's lives and grow cloae with each other"
31,480,True,True,I don't know,,18–24,2,"1850s, the Russian Empire. One day, BASIL, a 35-year-old noble man, oldest child and future heir, encounters Alex, a young peasant man from the village in Basil's family possession. However, class struggles render their union impossible, driving Alex to insanity and ultimate demise.","1850s, the Russian Empire. One day, Basil, a 35-year-old noble man, oldest child and future heir, encounters Beth, a young peasant woman from the village in Basil's family possession. However, class struggles render their union impossible, driving Beth to insanity and ultimate demise."
32,1232,True,True,Yes,"Lesbian, cisgender ",18–24,2,"A female engineer in her late thirties encounters a woman she used to date in the university when she joins her department as a colleague. Despite both being happily married, the newly hired woman discovers lingering feelings for her colleague and writes her a love letter.","A male engineer in his late thirties encounters a woman he used to date in the university when she joins his department as a colleague. Despite both being happily married, the newly hired woman discovers lingering feelings for her colleague and writes him a love letter."
33,242,True,True,Yes,"non-binary, pan-romantic, asexual",25–34,2,"A 24-year-old trans woman and a non-binary man meet for their first date to go to the cinema, but they find out that the screening has been postponed because of an incident outside the cinema.","A 24-year-old man and a woman meet to go to the cinema for their first date, but they find that the screening has been postponed due to an incident in front of the cinema."
34,126,True,True,No,,25–34,1,Two nonbinary scientists reunite in a small research Station in the Arctic to examine a glowing flower. They have to confront the fact that they are becoming attracted to each other when a strong storm traps them there.,A man scientist reunites with a woman scientist in a small Arctic research station to observe a glowing flower. They have to confront the fact that they are becoming attracted to each other when a strong storm traps them there.
35,1484,True,True,Yes,,18–24,2,"Two men engage in not-so light-hearted office rivalry while slowly coming to realize that their long-standing mutual hatred might hide something more profound. The preparation for the company's big Christmas event puts their feelings to the test, uncovering the admiration, respect, and jealousy they feel for each other, and ultimately ends in a true love's kiss under the mistletoe. ","A woman and a man engage in light-hearted office rivalry while slowly coming to realize that their long-standing mutual hatred might hide something more profound. The preparation for the company's big Christmas event puts their feelings to the test, uncovering the admiration, respect, and jealousy they feel for each other, and ultimately ends in a true love's kiss under the mistletoe. "
71,376,True,True,Yes,,18–24,1,"After talking for a couple of weeks, two guys go on their very anticipated first date. The Christmas markets being open this time of year, they decide to try them out. ","After talking for a couple of weeks, a guy and a girl go on their very anticipated first date. The Christmas markets being open this time of year, they decide to try them out. "
